rank,name,level,exp
1,Brett Vetion,2277,1794127824
2,Thalarios,2277,1567890000
3,Mazhar,2277,1500000000
4,Slays,2277,1159794416
5,Mandrewable,2277,1077777777
6,ShimonB,2277,1069696997
7,Tomiee,2277,1045345389
8,PancakeOSRS,2277,1040785034
9,Tatapie,2277,1032897847
10,Kint,2277,1000000000
11,h0wt0g3tr1ch,2277,962526398
12,LiT COLA,2277,955520445
13,GoblinDoctor,2277,933958620
14,ProInvesting,2277,926426218
15,DavidRich98,2277,896460973
16,More AFK,2277,873355463
17,diegorland0,2277,851449350
18,Zatom,2277,840078341
19,Mr Bond,2277,831589531
20,Hypermark,2277,830439344
21,Gl Im Tom,2277,825412904
22,Osare,2277,819131537
23,June,2277,818389922
24,Wishwandewe,2277,815371988
25,Columbus175,2277,811811811
rank,name,level,exp
26,Lezley,2277,806148712
27,Lichborne,2277,798655125
28,G o RY,2277,782717482
29,Netscape101,2277,777810102
30,Cousins,2277,769016126
31,GAUAUGAUG,2277,760807930
32,Zemiak,2277,753566468
33,ayylmao212,2277,743925615
34,panfletogall,2277,722626721
35,Slaying 45,2277,721237192
36,Im The Eye,2277,712158905
37,Rasm,2277,705534871
38,ll Austin ll,2277,656783591
39,Iron Clogged,2277,653424503
40,Car Ram Rod,2277,650593269
41,DVS,2277,625622323
42,jagedumihuve,2277,622205776
43,Armourer,2277,620411212
44,s5451927,2277,615402346
45,Stephs Tank,2277,611974855
46,Vazela,2277,588474629
47,FreeJazz,2277,572899088
48,COVID_COV_19,2277,571301763
49,Nopea,2277,567940803
50,Iammtpjr,2277,566792672
rank,name,level,exp
51,llBIGFISHll,2277,564688276
52,Da Nu,2277,545468898
53,Fluoroform,2277,540171076
54,Blackbelt,2277,540128735
55,PhobosDeimos,2277,507618325
56,Nayrus Love,2277,486263082
57,BEATOFFiT,2277,420451667
58,Matts Pet,2272,844492600
59,Iron Dipshit,2268,546755905
60,Cripveld,2264,489176356
61,Flaerewing,2263,1038742169
62,Hordalt,2261,818837901
63,FrostyBeardy,2261,369624573
64,Zara,2260,1503994390
65,wzrddddd,2260,1246910320
66,Iron not pro,2260,642017443
67,Kacy,2259,1429476025
68,Pet Sniffer,2259,677032072
69,Runeginge,2259,656598623
70,Jannikbager,2259,650921584
71,Small Idea,2259,572635094
72,xKimka,2259,475612501
73,Lord Devil,2257,750624169
74,Loparix,2257,512040826
75,Amehzyn,2256,804596672
rank,name,level,exp
76,Ba us,2255,460795290
77,Kind Ghost,2254,537734301
78,Nubslie,2253,1043358886
79,GroupIronPls,2253,913891700
80,Enele,2253,441093112
81,Poll,2252,1195178125
82,Pause Break,2252,1014177441
83,Whoayeahh,2252,670742529
84,Youkai111,2252,669276267
85,Enabler,2251,1037344752
86,0 Mime Law,2250,929041658
87,mhe00,2250,852642529
88,DragonCupRek,2250,843131561
89,Miaow Meow,2250,784450475
90,Enora Nyx FE,2250,679013326
91,DuoEnvy,2250,554955828
92,Zaywop47,2249,864928486
93,Ronin1234111,2249,653056984
94,Sky Babs,2249,640023393
95,Mobo,2249,408489427
96,Stefn,2248,898851448
97,TwistedCheek,2248,811756817
98,MyTravisty,2247,706112666
99,Yew Comp,2246,667318012
100,Kreger,2246,640621241

